Classement	Ville	Région	Nb habitants
168	Castres	Midi-Pyrénées	41 529
169	Choisy-le-Roi	Île-de-France	41 507
170	Talence	Aquitaine	41 358
171	Thionville	Lorraine	41 325
172	Arras	Nord-Pas-de-Calais	41 239
173	Alès	Languedoc-Roussillon	41 031
174	Garges-lès-Gonesse	Île-de-France	41 001
175	Gap	Provence-Alpes-Côte d'Azur	40 761
176	Saint-Laurent-du-Maroni	Guyane	40 597
177	Melun	Île-de-France	40 503
178	Bourg-en-Bresse	Rhône-Alpes	40 171
179	Noisy-le-Sec	Île-de-France	40 161
180	Compiègne	Picardie	40 028
181	La Courneuve	Île-de-France	39 859
182	Le Lamentin	Martinique	39 700
183	Marcq-en-Barœul	Nord-Pas-de-Calais	39 600
184	Saint-Germain-en-Laye	Île-de-France	39 476
185	Rezé	Pays de la Loire	39 377
186	Bron	Rhône-Alpes	39 232
187	Anglet	Aquitaine	39 223
188	Gagny	Île-de-France	39 172
189	Chartres	Centre-Val de Loire	38 889
190	Bagneux	Île-de-France	38 398
191	Saint-Martin-d'Hères	Rhône-Alpes	38 105
192	Montluçon	Auvergne	38 072
193	Pontault-Combault	Île-de-France	37 631
194	Poissy	Île-de-France	37 597
195	Draguignan	Provence-Alpes-Côte d'Azur	37 476
196	Joué-lès-Tours	Centre-Val de Loire	37 196
197	Savigny-sur-Orge	Île-de-France	37 135
198	Cherbourg-Octeville	Basse-Normandie	37 121
199	Saint-Joseph	La Réunion	37 069
200	Le Port	La Réunion	36 952
201	Colomiers	Midi-Pyrénées	36 699
202	Saint-Martin		36 622
203	Villefranche-sur-Saône	Rhône-Alpes	36 241
204	Stains	Île-de-France	36 155
205	Saint-Benoît	La Réunion	36 025
206	Échirolles	Rhône-Alpes	35 826
207	Villepinte	Île-de-France	35 820
208	Roanne	Rhône-Alpes	35 799
209	Montélimar	Rhône-Alpes	35 704
210	Saint-Chamond	Rhône-Alpes	35 564
211	Nevers	Bourgogne	35 327
212	Conflans-Sainte-Honorine	Île-de-France	35 135
213	Auxerre	Bourgogne	35 096
214	Sainte-Geneviève-des-Bois	Île-de-France	35 035
215	Châtillon	Île-de-France	34 960
216	Bagnolet	Île-de-France	34 920
217	Vitrolles	Provence-Alpes-Côte d'Azur	34 843
218	Thonon-les-Bains	Rhône-Alpes	34 661
219	Neuilly-sur-Marne	Île-de-France	34 658
220	Haguenau	Alsace	34 406
221	Marignane	Provence-Alpes-Côte d'Azur	34 405
222	Saint-Raphaël	Provence-Alpes-Côte d'Azur	34 115
223	Tremblay-en-France	Île-de-France	34 081
224	La Ciotat	Provence-Alpes-Côte d'Azur	34 063
225	Six-Fours-les-Plages	Provence-Alpes-Côte d'Azur	34 057
226	Creil	Picardie	33 936
227	Agen	Aquitaine	33 730
228	Romans-sur-Isère	Rhône-Alpes	33 701
229	Montigny-le-Bretonneux	Île-de-France	33 680
230	Le Perreux-sur-Marne	Île-de-France	33 248
231	Franconville	Île-de-France	33 196
232	Annemasse	Rhône-Alpes	33 166
233	Villeneuve-Saint-Georges	Île-de-France	32 994
234	Saint-Leu	La Réunion	32 971
235	Mâcon	Bourgogne	32 917
236	Cambrai	Nord-Pas-de-Calais	32 847
237	Lens	Nord-Pas-de-Calais	32 663
238	Houilles	Île-de-France	32 399
239	Épinal	Lorraine	32 387
240	Châtenay-Malabry	Île-de-France	32 198
241	Schiltigheim	Alsace	31 691
242	Sainte-Marie	La Réunion	31 596
243	Liévin	Nord-Pas-de-Calais	31 580
244	Châtellerault	Poitou-Charentes	31 537
245	Meyzieu	Rhône-Alpes	31 493
246	Goussainville	Île-de-France	31 255
247	Viry-Châtillon	Île-de-France	31 221
248	Dreux	Centre-Val de Loire	31 195
249	L'Haÿ-les-Roses	Île-de-France	31 168
250	Plaisir	Île-de-France	31 119
